Customer_ID,Customer_Name,Gender,Age,State,City,Bank_Branch,Account_Type,Transaction_ID,Transaction_Date,Transaction_Time,Transaction_Amount,Merchant_ID,Transaction_Type,Merchant_Category,Account_Balance,Transaction_Device,Transaction_Location,Device_Type,Is_Fraud,Transaction_Currency,Customer_Contact,Transaction_Description,Customer_Email
87b53799-9959-4534-9aad-f7dfc1821d4b,Charvi Biswas,Male,18,Gujarat,Vadodara,Vadodara Branch,Savings,72832f5f-3b4c-4c9f-8434-8cfc564835f1,25-01-2025,08:52:44,45491.61,e4d6a617-f30f-481c-b2d6-133259d69a3b,Credit,Clothing,25427.07,Desktop/Laptop,"Vadodara, Gujarat",POS,0,INR,+9193360XXXXXX,Streaming service subscription,charviXXXX@XXXXXXX.com
d4d0f62e-00b0-4c0e-8188-0b5a3f3e6c3e,Yuvraj Dasgupta,Male,59,Punjab,Chandigarh,Chandigarh Branch,Business,9a03bbb6-0b7b-4ea6-919f-ba430637b612,14-01-2025,19:43:31,34680.87,3777c223-bf6f-443f-8964-5f60155cca98,Credit,Restaurant,38070.74,Bank Branch,"Chandigarh, Punjab",Mobile,0,INR,+9193342XXXXXX,Subscription renewal,yuvrajXXXXX@XXXXX.com
b2563484-0dae-4555-8859-5b55f91136d4,Amara Sidhu,Male,66,Mizoram,Champhai,Champhai Branch,Savings,6fa60ddb-b48b-40d3-b48a-d3bfa5afaafa,27-01-2025,22:02:12,46843.65,31278c3e-48ae-4115-a5c0-d8de1745d28f,Bill Payment,Restaurant,38362.08,Desktop/Laptop,"Champhai, Mizoram",Desktop,0,INR,+9192865XXXXXX,Laundry service,amaraXXXX@XXXXXXX.com
e6efdf36-1128-4a59-b4e5-08d8e5eb0e90,Maya Purohit,Female,47,Chhattisgarh,Korba,Korba Branch,Savings,9cb895c2-a148-43e4-8bff-44dfff407fe7,29-01-2025,12:09:47,39976.03,84797331-345f-40c3-87cd-f45e873de706,Transfer,Restaurant,49403.41,Self-service Banking Machine,"Korba, Chhattisgarh",POS,0,INR,+9193052XXXXXX,Online shopping,mayaXXX@XXXXXXX.com
3b59a82e-cd12-4eb4-bb0d-a52fb0662be8,Eshana Yohannan,Male,37,West Bengal,Kolkata,Kolkata Branch,Savings,9ce70ba0-cdf9-4c7d-bf79-8b59ac663b91,09-01-2025,14:35:57,10258.06,09006c38-ded5-4abe-8660-6334a1fd4825,Transfer,Groceries,73121.31,Payment Gateway Device,"Kolkata, West Bengal",ATM,0,INR,+9197782XXXXXX,Personal loan repayment,eshanaXXXXX@XXXXXXX.com
fa3f6733-33d6-4893-9a4b-90d097e02a14,Ranveer Biswas,Female,53,Bihar,Gaya,Gaya Branch,Business,08d040c8-4561-40e3-b2de-605ffbc837a2,22-01-2025,09:50:59,92969.97,c402f840-63bc-4a00-97d3-59ca63c281ff,Withdrawal,Health,80388.02,ATM Booth Kiosk,"Gaya, Bihar",Mobile,0,INR,+9194710XXXXXX,Insurance premium,ranveerXXXX@XXXXXXX.com
8d375e52-bfe4-405c-8e49-0e53f4cb8258,Bishakha Dhar,Female,38,Sikkim,Jorethang,Jorethang Branch,Checking,26064944-2ef5-40f3-bbc6-880fa0c7ffa6,08-01-2025,13:51:31,47.39,9ccd73b9-9361-4ec7-af4f-9bbf27672b77,Withdrawal,Clothing,52977.93,ATM,"Jorethang, Sikkim",Mobile,0,INR,+9199457XXXXXX,Pet care,bishakhaXXXXX@XXXXX.com
99d95f63-a2fa-4707-b577-f4a008e6700e,Theodore Suri,Male,56,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Silvassa Branch,Business,aa3832eb-c0f0-48b1-b195-a376a1e17797,24-01-2025,12:41:39,85269.3,edb8e488-50ce-4d73-8dfd-ba561b4bc17b,Debit,Restaurant,74322.85,Biometric Scanner,"Silvassa, Dadra and Nagar Haveli and Daman and Diu",Desktop,1,INR,+9194951XXXXXX,Gift for colleague,theodoreXXX@XXXXX.com
88f48e6d-8018-4977-9af3-1702bd6e490c,Gagan Vala,Female,38,Madhya Pradesh,Bhopal,Bhopal Branch,Savings,df9d6dd9-dd29-442d-9abf-a2b3bbffde24,02-01-2025,12:42:43,89594.61,70d22ed4-3162-419f-adbb-1d04449f135d,Bill Payment,Groceries,61702.79,POS Mobile Device,"Bhopal, Madhya Pradesh",Desktop,0,INR,+9196471XXXXXX,Smart home device purchase,gaganXXXXX@XXXXX.com
f2fd2ba1-be7e-4a02-8cb6-bd20cae92545,Saanvi Srinivas,Female,38,Uttar Pradesh,Kanpur,Kanpur Branch,Business,0c4dafb3-c550-453a-a77c-6660a26b6705,13-01-2025,21:50:44,17728.9,4a1fff97-40f6-4427-b6fa-a1921619b4df,Withdrawal,Clothing,6965.92,Self-service Banking Machine,"Kanpur, Uttar Pradesh",Desktop,0,INR,+9196905XXXXXX,Beauty products,saanviXXXX@XXXXX.com
c7f12d6f-4193-4bd8-9224-b8b900f05290,Nikita Mohan,Male,60,Andaman and Nicobar Islands,Port Blair,Port Blair Branch,Business,2e4aeb85-653c-43d6-b74d-a15e913ae6b9,17-01-2025,08:34:34,69766.33,df14ef22-f7aa-4d72-92ca-3c72c6bb4c7d,Debit,Clothing,56941.65,Self-service Banking Machine,"Port Blair, Andaman and Nicobar Islands",POS,0,INR,+9196255XXXXXX,Car service,nikitaXXXX@XXXXX.com
